date,RateFactor1,ConfFactor1,ConfFactor2,ConfFactor3
03.01.2002,76.82450182,194.500508,-199.8476724,-85.95823735
07.02.2002,77.74748382,81.21154539,49.48384246,172.3528005
07.03.2002,-15.09854786,48.74420577,-86.08128117,73.5501119
04.04.2002,-0.181431953,-99.85019449,-104.507591,-113.4366923
02.05.2002,55.55996776,243.6283948,465.7324897,148.2531185
06.06.2002,-187.3147639,115.6078462,264.6514383,-129.3319735
04.07.2002,-54.4544165,-10.39605209,-128.2374562,34.31916143
01.08.2002,71.84475984,NA,NA,NA
12.09.2002,-55.47638061,-224.3713335,-292.344401,-97.12225275
10.10.2002,289.4797727,114.1982022,254.4476909,5.632278762
07.11.2002,798.6828481,-224.8303944,-68.40307863,-16.12446914
05.12.2002,-562.5560736,-70.94535714,47.98831982,162.5004294
09.01.2003,0.815952396,177.5224964,11.22502517,73.46863489
06.02.2003,221.9961037,86.87079555,37.22653961,-16.71669294
06.03.2003,817.0983126,62.78190661,-334.3824084,88.83460512
03.04.2003,211.5664473,110.1945607,-105.5492646,46.16657072
08.05.2003,73.63287906,220.1301873,324.3427661,111.411241
05.06.2003,-508.9460284,210.4222847,-844.4317854,-216.1115065
10.07.2003,-2.790806252,108.8994766,-75.25141915,5.511603286
31.07.2003,13.01983286,NA,NA,NA
04.09.2003,-19.10497855,111.0286397,-310.1016821,44.86339711
02.10.2003,37.8334481,26.93511916,412.1376718,13.53550483
06.11.2003,-61.88984166,47.41161275,31.81923318,114.273899
04.12.2003,-39.27127878,48.46940862,-352.7717998,-80.41232013
08.01.2004,38.79345714,-14.96746371,-147.7399404,-54.04577936
05.02.2004,-14.10013032,-57.29896953,-169.0144989,-133.434991
04.03.2004,191.1652578,145.5893504,122.2631795,-51.42175275
01.04.2004,304.5442293,244.6824672,385.6713233,-11.26772966
06.05.2004,16.07004907,-116.5675082,248.3686824,-8.26470449
03.06.2004,-100.3323942,108.6991705,-284.7386204,28.75749488
01.07.2004,-42.6154466,-75.00688077,144.8211253,-57.35756018
05.08.2004,-13.30812975,NA,NA,NA
02.09.2004,47.65617253,22.80235581,181.0640709,24.567842
07.10.2004,-13.51246157,-178.7777865,105.4474309,46.25707858
04.11.2004,-29.202929,-81.1068695,115.8144182,-105.7356581
02.12.2004,-122.2801809,130.0899037,134.6931954,-19.7227237
13.01.2005,-32.00545542,-2.150589608,-640.879084,-179.5406899
03.02.2005,-51.76940071,-33.54593888,-16.16109848,43.55388376
03.03.2005,-33.07526038,-70.65132424,-28.16823859,-80.42073187
07.04.2005,-20.5684376,5.813831389,-275.1669982,-132.938189
04.05.2005,-17.78531997,10.74322475,89.70474804,161.3406942
02.06.2005,47.76058023,-72.22286773,242.3549211,-61.202852
07.07.2005,-13.70022125,47.94700289,366.3685409,190.3060252
04.08.2005,-12.42226315,NA,NA,NA
01.09.2005,-26.39320704,74.54478476,-279.026089,-58.61092867
06.10.2005,-28.72038452,14.25627354,-19.56452746,-108.8013509
03.11.2005,-79.21521476,-77.86574837,123.962213,-41.14918602
01.12.2005,-128.2461456,-71.40512598,-209.56634,-16.60407712
12.01.2006,-39.7513722,-82.39240287,-228.4427581,-51.87680395
02.02.2006,-127.7891946,21.02956177,54.31954516,52.41787578
02.03.2006,-22.88709276,-56.81397562,527.6720875,307.9552947
06.04.2006,-63.11738336,-828.9232508,103.4261434,-66.33344292
04.05.2006,-207.1771456,96.78290469,20.61845585,23.33649094
08.06.2006,-110.5093436,-284.3298762,21.46440521,200.3458542
06.07.2006,-166.5921555,254.1543354,31.16238613,-130.4382904
03.08.2006,48.75163665,25.34837785,306.5356441,25.43332839
31.08.2006,-33.52785201,39.49698639,181.4418545,-373.698468
05.10.2006,-39.94359322,61.4352381,-39.61065046,-27.59349337
02.11.2006,-111.345938,-3.573388765,87.37950483,-16.93542272
07.12.2006,6.954963773,46.0717582,373.1016762,51.81962983
11.01.2007,-31.07361076,-276.8522868,-276.8201306,-7.625540068
